@RELATION test

@ATTRIBUTE v1	REAL
@ATTRIBUTE v2	REAL
@ATTRIBUTE v3	REAL
@ATTRIBUTE v4	REAL
@ATTRIBUTE v5	REAL
@ATTRIBUTE v6	REAL
@ATTRIBUTE v7	REAL
@ATTRIBUTE v8	REAL
@ATTRIBUTE v9	REAL
@ATTRIBUTE v10	REAL
@ATTRIBUTE v11	REAL
@ATTRIBUTE v12	REAL
@ATTRIBUTE v13	REAL
@ATTRIBUTE v14	REAL
@ATTRIBUTE v15	REAL
@ATTRIBUTE v16	REAL
@ATTRIBUTE v17	REAL
@ATTRIBUTE v18	REAL
@ATTRIBUTE v19	REAL
@ATTRIBUTE v20	REAL
@ATTRIBUTE v21	REAL
@ATTRIBUTE v22	REAL
@ATTRIBUTE v23	REAL
@ATTRIBUTE v24	REAL
@ATTRIBUTE v25	REAL
@ATTRIBUTE v26	REAL
@ATTRIBUTE v27	REAL
@ATTRIBUTE v28	REAL
@ATTRIBUTE v29	REAL
@ATTRIBUTE v30	REAL
@ATTRIBUTE v31	REAL
@ATTRIBUTE v32	REAL
@ATTRIBUTE v33	REAL
@ATTRIBUTE v34	REAL
@ATTRIBUTE v35	REAL
@ATTRIBUTE v36	REAL
@ATTRIBUTE v37	REAL
@ATTRIBUTE v38	REAL
@ATTRIBUTE v39	REAL
@ATTRIBUTE v40	REAL
@ATTRIBUTE v41	REAL
@ATTRIBUTE v42	REAL
@ATTRIBUTE v43	REAL
@ATTRIBUTE v44	REAL
@ATTRIBUTE v45	REAL
@ATTRIBUTE v46	REAL
@ATTRIBUTE v47	REAL
@ATTRIBUTE v48	REAL
@ATTRIBUTE v49	REAL
@ATTRIBUTE v50	REAL
@ATTRIBUTE v51	REAL
@ATTRIBUTE v52	REAL
@ATTRIBUTE v53	REAL
@ATTRIBUTE v54	REAL
@ATTRIBUTE v55	REAL
@ATTRIBUTE v56	REAL
@ATTRIBUTE v57	REAL
@ATTRIBUTE v58	REAL
@ATTRIBUTE v59	REAL
@ATTRIBUTE v60	REAL
@ATTRIBUTE v61	REAL
@ATTRIBUTE v62	REAL
@ATTRIBUTE v63	REAL
@ATTRIBUTE v64	REAL
@ATTRIBUTE v65	REAL
@ATTRIBUTE v66	REAL
@ATTRIBUTE v67	REAL
@ATTRIBUTE v68	REAL
@ATTRIBUTE v69	REAL
@ATTRIBUTE v70	REAL
@ATTRIBUTE v71	REAL
@ATTRIBUTE v72	REAL
@ATTRIBUTE v73	REAL
@ATTRIBUTE v74	REAL
@ATTRIBUTE v75	REAL
@ATTRIBUTE v76	REAL
@ATTRIBUTE v77	REAL
@ATTRIBUTE v78	REAL
@ATTRIBUTE v79	REAL
@ATTRIBUTE v80	REAL
@ATTRIBUTE v81	REAL
@ATTRIBUTE v82	REAL
@ATTRIBUTE v83	REAL
@ATTRIBUTE v84	REAL
@ATTRIBUTE v85	REAL
@ATTRIBUTE v86	REAL
@ATTRIBUTE v87	REAL
@ATTRIBUTE v88	REAL
@ATTRIBUTE v89	REAL
@ATTRIBUTE v90	REAL
@ATTRIBUTE v91	REAL
@ATTRIBUTE v92	REAL
@ATTRIBUTE v93	REAL
@ATTRIBUTE v94	REAL
@ATTRIBUTE v95	REAL
@ATTRIBUTE v96	REAL
@ATTRIBUTE v97	REAL
@ATTRIBUTE v98	REAL
@ATTRIBUTE v99	REAL
@ATTRIBUTE v100	REAL
@ATTRIBUTE class 	{cl1,cl2,cl3,cl4}

@DATA
-1000000,-1000000,57,0,19,46,51,-1000000,24,59,31,-1000000,-1000000,-1000000,-1000000,-1000000,62,67,54,-1000000,91,62,36,-1000000,34,-1000000,-1000000,89,97,14,-1000000,-1000000,59,63,-1000000,58,-1000000,-1000000,74,-1000000,39,51,36,-1000000,40,-1000000,-1000000,-1000000,2,-1000000,88,14,86,61,-1000000,-1000000,-1000000,72,-1000000,-1000000,-1000000,92,-1000000,-1000000,-1000000,2,44,26,-1000000,-1000000,-1000000,72,-1000000,50,-1000000,-1000000,-1000000,-1000000,74,13,81,-1000000,37,-1000000,35,91,-1000000,23,46,61,10,17,83,-1000000,-1000000,90,-1000000,-1000000,-1000000,-1000000,cl1
36,-1000000,-1000000,97,92,8,97,-1000000,-1000000,89,78,-1000000,77,-1000000,89,-1000000,-1000000,-1000000,-1000000,93,-1000000,72,90,52,61,98,30,45,4,-1000000,78,-1000000,-1000000,-1000000,99,41,-1000000,-1000000,96,-1000000,-1000000,60,90,-1000000,-1000000,-1000000,-1000000,52,-1000000,98,7,52,-1000000,-1000000,-1000000,63,-1000000,88,-1000000,-1000000,47,-1000000,-1000000,71,31,-1000000,-1000000,3,45,-1000000,-1000000,46,-1000000,47,30,-1000000,83,-1000000,-1000000,1,-1000000,-1000000,0,79,-1000000,-1000000,38,-1000000,-1000000,13,-1000000,-1000000,-1000000,-1000000,-1000000,74,44,37,35,-1000000,cl1
-1000000,-1000000,74,-1000000,60,-1000000,85,-1000000,59,-1000000,70,-1000000,-1000000,-1000000,66,34,7,-1000000,36,58,-1000000,-1000000,-1000000,-1000000,91,-1000000,75,-1000000,-1000000,29,1,-1000000,-1000000,-1000000,-1000000,46,14,-1000000,-1000000,49,-1000000,-1000000,38,43,91,-1000000,-1000000,76,-1000000,19,57,64,12,13,88,-1000000,47,-1000000,46,-1000000,-1000000,32,17,-1000000,-1000000,10,17,17,56,-1000000,28,-1000000,-1000000,-1000000,7,79,53,12,-1000000,-1000000,16,-1000000,-1000000,-1000000,81,-1000000,65,-1000000,67,29,3,-1000000,-1000000,-1000000,44,-1000000,-1000000,-1000000,67,-1000000,cl1
16,-1000000,81,89,81,-1000000,43,63,-1000000,59,-1000000,-1000000,-1000000,77,-1000000,-1000000,-1000000,51,40,60,-1000000,90,95,41,-1000000,-1000000,71,-1000000,-1000000,6,94,22,73,46,-1000000,-1000000,-1000000,61,-1000000,-1000000,86,-1000000,-1000000,-1000000,-1000000,-1000000,86,84,-1000000,53,72,87,-1000000,-1000000,63,23,-1000000,-1000000,-1000000,91,-1000000,-1000000,-1000000,92,1,-1000000,-1000000,43,95,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,10,-1000000,-1000000,63,-1000000,73,-1000000,91,-1000000,-1000000,-1000000,46,-1000000,-1000000,-1000000,-1000000,24,8,36,-1000000,15,20,-1000000,33,cl1
-1000000,-1000000,-1000000,-1000000,64,72,74,54,52,-1000000,-1000000,24,43,58,-1000000,-1000000,-1000000,-1000000,70,-1000000,28,-1000000,-1000000,-1000000,-1000000,-1000000,10,-1000000,14,-1000000,-1000000,-1000000,-1000000,55,86,-1000000,-1000000,23,79,-1000000,9,-1000000,-1000000,-1000000,97,-1000000,17,-1000000,-1000000,43,-1000000,-1000000,-1000000,-1000000,51,53,85,23,-1000000,-1000000,-1000000,-1000000,80,-1000000,-1000000,-1000000,-1000000,-1000000,62,94,-1000000,-1000000,27,8,37,9,-1000000,-1000000,-1000000,33,63,92,-1000000,-1000000,52,51,71,-1000000,91,62,77,32,-1000000,19,-1000000,52,98,-1000000,35,44,cl1
23,-1000000,33,3,15,99,37,86,-1000000,76,-1000000,-1000000,-1000000,27,60,70,92,-1000000,62,79,-1000000,-1000000,-1000000,33,-1000000,-1000000,48,-1000000,-1000000,-1000000,16,-1000000,49,75,-1000000,34,81,43,44,-1000000,-1000000,82,44,-1000000,32,43,96,-1000000,-1000000,55,61,36,-1000000,-1000000,-1000000,30,71,71,-1000000,41,-1000000,-1000000,-1000000,-1000000,16,98,17,-1000000,47,-1000000,38,62,87,-1000000,42,26,-1000000,-1000000,-1000000,-1000000,-1000000,55,55,34,-1000000,-1000000,-1000000,-1000000,28,-1000000,-1000000,-1000000,-1000000,58,82,-1000000,77,69,-1000000,39,cl1
93,82,63,42,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,34,74,-1000000,-1000000,16,65,71,-1000000,65,21,-1000000,-1000000,-1000000,-1000000,77,-1000000,-1000000,-1000000,35,83,1,69,44,-1000000,85,43,25,55,1,-1000000,23,-1000000,43,62,2,16,-1000000,-1000000,68,13,68,-1000000,36,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,10,3,-1000000,-1000000,-1000000,59,81,-1000000,51,85,51,-1000000,-1000000,22,18,3,91,-1000000,17,-1000000,71,86,90,-1000000,-1000000,72,74,-1000000,8,0,2,46,30,-1000000,-1000000,30,-1000000,-1000000,77,-1000000,cl1
41,88,3,-1000000,-1000000,38,-1000000,55,45,88,96,-1000000,-1000000,61,-1000000,71,-1000000,69,47,-1000000,-1000000,76,62,-1000000,23,61,-1000000,-1000000,33,97,-1000000,69,53,11,10,-1000000,-1000000,-1000000,-1000000,18,30,53,3,-1000000,26,49,-1000000,-1000000,44,47,82,-1000000,29,23,-1000000,-1000000,2,-1000000,-1000000,-1000000,45,89,10,69,-1000000,-1000000,87,-1000000,81,-1000000,47,49,-1000000,0,41,-1000000,64,-1000000,89,20,-1000000,13,-1000000,-1000000,15,28,71,-1000000,-1000000,-1000000,85,-1000000,-1000000,-1000000,-1000000,-1000000,13,-1000000,38,-1000000,cl1
-1000000,-1000000,-1000000,61,73,60,-1000000,21,60,-1000000,-1000000,-1000000,-1000000,50,78,91,21,-1000000,-1000000,-1000000,-1000000,-1000000,58,4,-1000000,97,10,-1000000,-1000000,-1000000,-1000000,60,-1000000,90,-1000000,-1000000,-1000000,86,85,-1000000,50,10,63,29,-1000000,-1000000,64,-1000000,96,75,37,-1000000,-1000000,27,20,31,-1000000,-1000000,-1000000,53,-1000000,-1000000,98,-1000000,77,-1000000,95,42,59,60,5,-1000000,-1000000,-1000000,33,-1000000,17,-1000000,77,-1000000,86,43,33,-1000000,65,29,7,-1000000,-1000000,53,-1000000,-1000000,74,9,80,-1000000,-1000000,36,96,9,cl1
26,72,-1000000,81,4,-1000000,25,-1000000,-1000000,-1000000,98,82,-1000000,-1000000,-1000000,45,-1000000,-1000000,-1000000,12,13,75,-1000000,86,-1000000,60,-1000000,44,23,-1000000,84,76,-1000000,82,63,-1000000,-1000000,-1000000,74,12,54,80,-1000000,63,74,-1000000,23,63,39,-1000000,-1000000,32,-1000000,-1000000,33,-1000000,-1000000,29,-1000000,97,34,-1000000,61,-1000000,-1000000,54,-1000000,72,-1000000,68,-1000000,-1000000,62,-1000000,-1000000,-1000000,-1000000,-1000000,15,-1000000,-1000000,55,58,-1000000,-1000000,15,71,-1000000,80,10,-1000000,49,-1000000,-1000000,18,29,35,98,-1000000,55,cl1
73,26,-1000000,88,-1000000,13,14,-1000000,85,-1000000,51,-1000000,24,-1000000,-1000000,-1000000,68,16,-1000000,-1000000,22,-1000000,24,8,-1000000,11,2,-1000000,20,93,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,38,69,-1000000,-1000000,33,22,94,97,24,56,-1000000,-1000000,7,68,7,64,-1000000,-1000000,-1000000,95,71,-1000000,-1000000,-1000000,-1000000,61,86,89,77,-1000000,97,34,29,-1000000,-1000000,-1000000,98,-1000000,-1000000,92,-1000000,-1000000,-1000000,-1000000,21,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,56,43,76,-1000000,43,45,40,95,67,94,-1000000,32,97,cl1
23,-1000000,-1000000,78,84,82,-1000000,63,24,-1000000,18,-1000000,-1000000,-1000000,-1000000,44,61,-1000000,39,-1000000,-1000000,-1000000,-1000000,-1000000,78,-1000000,79,-1000000,-1000000,75,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,10,65,-1000000,98,-1000000,-1000000,-1000000,34,9,-1000000,7,-1000000,-1000000,-1000000,-1000000,-1000000,91,96,-1000000,-1000000,-1000000,13,73,0,82,17,58,38,93,9,46,47,-1000000,76,83,7,-1000000,-1000000,-1000000,-1000000,-1000000,61,-1000000,-1000000,-1000000,-1000000,64,-1000000,57,47,-1000000,-1000000,-1000000,95,87,15,65,23,77,6,-1000000,-1000000,-1000000,95,cl1
92,55,-1000000,-1000000,-1000000,6,-1000000,-1000000,-1000000,62,33,-1000000,16,52,56,-1000000,-1000000,45,8,96,82,-1000000,-1000000,61,-1000000,-1000000,49,68,-1000000,1,-1000000,72,-1000000,-1000000,-1000000,-1000000,91,-1000000,41,-1000000,80,-1000000,50,63,55,22,-1000000,-1000000,58,-1000000,41,-1000000,-1000000,29,47,16,-1000000,95,-1000000,6,-1000000,15,84,9,68,-1000000,40,36,60,-1000000,33,11,-1000000,-1000000,-1000000,-1000000,38,33,91,-1000000,3,-1000000,-1000000,48,18,-1000000,96,35,31,80,66,15,-1000000,44,-1000000,66,-1000000,-1000000,-1000000,40,cl2
15,4,28,-1000000,-1000000,-1000000,-1000000,89,28,-1000000,12,67,-1000000,61,-1000000,-1000000,27,-1000000,36,49,-1000000,-1000000,54,-1000000,-1000000,38,-1000000,33,-1000000,0,-1000000,-1000000,-1000000,59,8,-1000000,31,-1000000,-1000000,-1000000,28,50,-1000000,23,-1000000,74,-1000000,-1000000,60,78,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,88,88,-1000000,56,-1000000,1,39,96,-1000000,96,41,89,28,72,63,-1000000,43,57,91,-1000000,91,83,71,27,88,24,28,-1000000,21,86,13,55,73,-1000000,-1000000,34,-1000000,1,2,-1000000,66,-1000000,cl2
-1000000,8,-1000000,-1000000,49,-1000000,-1000000,-1000000,49,-1000000,-1000000,81,70,48,-1000000,-1000000,49,-1000000,14,-1000000,-1000000,76,-1000000,42,-1000000,17,74,-1000000,-1000000,90,-1000000,-1000000,70,-1000000,15,62,16,-1000000,45,88,71,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,95,91,71,42,65,10,-1000000,-1000000,-1000000,89,-1000000,-1000000,-1000000,-1000000,-1000000,43,-1000000,-1000000,-1000000,0,-1000000,-1000000,5,52,-1000000,-1000000,23,34,-1000000,19,-1000000,-1000000,1,64,-1000000,99,24,-1000000,-1000000,31,-1000000,-1000000,93,-1000000,-1000000,7,41,81,13,75,46,-1000000,53,cl2
